var name, type , #
Paragraph>>maxRightX,BoxedFloat64,17134,SmallInteger,3345
LayoutProperties>>initializeFrom:>>arg>>defaultProvider,DropListMorph,5,LazyTabPage,9,AlertDialogWindow,1,PluggableMultiColumnListMorph,1,MorphTreePager,1,TextMorph,339,FreeTypeFontSelectorDialogWindow,1,MenuItemMorph,5,EditableDropListMorph,1,TextMorphForFieldView,5,ErrorDialogWindow,1,RubScrolledTextMorph,3,IconicButton,29,LazyMorphTreeNodeMorph,11987,TabBarMorph,1,HColorSelectorMorph,4,FTCellMorph,1056,SeparatorMorph,10,GLMFoundationBrick,4,GLMPluggableButtonMorph,32,LazyMorphTreeMorph,1,HSVColorSelectorMorph,3,PluggableSliderMorph,4,PluggableDialogWindow,9,Morph,5073,JobProgressBarMorph,1,GLMSystemWindow,1,GroupboxMorph,12,PluggableIconListMorph,2,ToolDockingBarMorph,14,JobProgressMorph,1,DenyDialogWindow,1,ProceedDialogWindow,1,IdentifierChooserMorph,5,PluggableMorphListMorph,2,QuestionWithoutCancelDialogWindow,1,ColorSelectorDialogWindow,1,StandardWindow,4,LazyMorphListMorph,6,MenuMorph,1,GLMPaginatedResizableMorphTreeMorph,4,ProgressBarMorph,1,FTTableRowMorph,356,QuestionDialogWindow,1,ExpanderTitleMorph,2,WindowEdgeGripMorph,128,TabLabelItem,4,ProportionalSplitterMorph,2,DockingBarToggleMenuItemMorph,1,GLMTabSelectorBrick,9,CheckboxMorph,1007,PluggableTextMorph,4,PaginatedMorphTreeMorph,3,PluggableListMorph,6,CheckboxButtonMorph,1007,FileDialogWindow,2,MultistateButtonMorph,1,PluggableTextFieldMorph,3026,IconicListItem,52,MorphTreeChunkPager,5,TabLabelMorph,2,ControlButtonMorph,12,LazyTabGroupMorph,9,MessageDialogWindow,1,TreeListMorph,3,StringMorph,25131,MorphDropListMorph,2,LabelMorph,2070,PanelMorph,388,TabGroupMorph,1,PluggableToggleButtonMorph,3,PluggableButtonMorph,507,AlphaImageMorph,5,LockableTabMorph,1,EmbeddedMenuMorph,5,ColorPresenterMorph,2,ToggleMenuItemMorph,171,MorphTreeNodeMorph,26205,GeneralScrollPane,5,SVColorSelectorMorph,4,PlainGroupboxMorph,11,TextEntryDialogWindow,2,FTTableMorph,2,ChooseDropListDialogWindow,1,ExpanderMorph,2,HSVAColorSelectorMorph,2,SystemWindow,13,AlignmentMorph,1161,TabMorph,3,MorphTreeColumnButton,22,MorphTreeMorph,6,TabManagerMorph,1,TabSelectorMorph,1,AColorSelectorMorph,5,SpecWindow,1,ColorChooserMorph,1
TextMorph>>mouseLeave:>>arg>>evt,MouseMoveEvent,1
MorphEventSubscription>>notify:from:>>arg>>anEvent,MouseMoveEvent,64
TextLine>>internalSpaces:>>arg>>spacesInteger,SmallInteger,2291
TextComposer>>defaultLineHeight,SmallInteger,20479
TextMorph>>handleInteraction:>>temp>>oldParagraph,Paragraph,11
MorphicEventHandler>>startDrag:fromMorph:>>arg>>sourceMorph,GLMSystemWindow,1
LayoutFrame>>topFraction:>>arg>>aNumber,Fraction,2,SmallInteger,532,BoxedFloat64,90
RowLayout>>layout:in:>>temp>>x,SmallInteger,25427,BoxedFloat64,22520
TextComposer>>composeLinesFrom:to:delta:into:priorLines:atY:textStyle:text:container:wantsColumnBreaks:>>arg>>argDelta,SmallInteger,8
TableLayout>>layoutLeftToRight:in:>>1>>temp>>props,SimpleButtonMorph,273,StringMorph,2448,MultistateButtonMorph,31,EmbossedStringMorph,3,FuzzyLabelMorph,23,ImageMorph,443,TableLayoutProperties,46121,TextMorph,12,LabelMorph,1513,AlphaImageMorph,490,LayoutProperties,2683,Morph,71
ImageMorph>>color:>>arg>>aColor,Color,26
StringMorph>>emphasis,SmallInteger,67339,UndefinedObject,274
TableLayout>>placeCells:in:horizontal:target:>>arg>>newBounds,Rectangle,19
RowLayout>>layout:in:>>arg>>layoutBounds,Rectangle,22557
Paragraph>>recomposeFrom:to:delta:>>arg>>stop,SmallInteger,8
MenuMorph>>selectItem:event:>>arg>>aMenuItem,ToggleMenuItemMorph,2,UndefinedObject,1
TableLayout>>layoutTopToBottom:in:>>temp>>extraPerCell,SmallInteger,3033,BoxedFloat64,1797
TableLayout>>layoutTopToBottom:in:>>temp>>minY,SmallInteger,3033
TableLayout>>minExtentHorizontal:>>temp>>maxY,SmallInteger,7581
TextComposer>>isFirstLine,True,20479,False,29085
TableLayout>>layoutLeftToRight:in:>>temp>>posY,SmallInteger,40960
MenuMorph>>addToggle:target:selector:getStateSelector:enablementSelector:argumentList:>>arg>>aString,ByteString,3
TextMorph>>handleInteraction:>>arg>>interactionBlock,BlockClosure,11
Paragraph>>secondarySelection,UndefinedObject,1
DashedBorder>>dashColors:dashLengths:>>arg>>cols,Array,1
TransformMorph>>bounds,Rectangle,13465
TableLayout>>computeCellSizes:in:horizontal:>>temp>>maxSize,Point,40
TableLayout>>computeCellArrangement:in:horizontal:target:>>temp>>last,UndefinedObject,20,LayoutCell,264
MouseClickState>>dblClickTime,SmallInteger,9
Paragraph>>selectionRectsFrom:to:>>temp>>w,SmallInteger,6188
TableLayout>>computeCellArrangement:in:horizontal:target:>>temp>>cellMax,Point,244
TableLayout>>layoutLeftToRight:in:>>temp>>extra,SmallInteger,101233,BoxedFloat64,14504
TextLine>>lineHeight:baseline:>>arg>>ascent,SmallInteger,32436
TextComposer>>composeLinesFrom:to:delta:into:priorLines:atY:textStyle:text:container:wantsColumnBreaks:>>arg>>argStartY,SmallInteger,8
TextLine>>bottom,SmallInteger,64850,BoxedFloat64,8229
RaisedBorder>>trackColorFrom:>>arg>>aMorph,StandardWindow,8,ChooseDropListDialogWindow,2,DenyDialogWindow,2,BorderedMorph,88,TextEntryDialogWindow,4,GLMSystemWindow,2,SpecWindow,2,MessageDialogWindow,2,BracketMorph,361,ExpanderTitleMorph,92,PanelMorph,12,PluggableDialogWindow,18,QuestionDialogWindow,2,AlertDialogWindow,2,SystemWindow,26,ErrorDialogWindow,2,FreeTypeFontSelectorDialogWindow,2,ProceedDialogWindow,2,ColorSelectorDialogWindow,2,FileDialogWindow,4,QuestionWithoutCancelDialogWindow,2
RowLayout>>layout:in:>>17>>temp>>box,Rectangle,61864
Paragraph>>composeLinesFrom:to:delta:into:priorLines:atY:>>arg>>stop,SmallInteger,8
TextLine>>paddingWidth,SmallInteger,34057,BoxedFloat64,30498
StringMorph>>initWithContents:font:emphasis:>>arg>>aString,ByteString,28396,ByteSymbol,936,Text,1200
DashedBorder>>dashColors,Array,2
TableLayout>>minExtentOf:in:>>arg>>aMorph,CheckboxMorph,7088,HSVAColorSelectorMorph,6,ColorPresenterMorph,16,TabLabelMorph,123,Morph,404,PlainGroupboxMorph,93,ExpanderTitleMorph,91,TabGroupMorph,14,IconicButton,117,ColorChooserMorph,46,AlignmentMorph,3365,PanelMorph,4071,HSVColorSelectorMorph,18,GLMPluggableButtonMorph,402,ControlButtonMorph,305,IconicListItem,88,JobProgressMorph,27,ToolDockingBarMorph,79,JobProgressBarMorph,11,PluggableButtonMorph,2251,FTCellMorph,2112,GroupboxMorph,180,EmbeddedMenuMorph,5,ExpanderMorph,92
TableLayout>>placeCells:in:horizontal:target:>>temp>>yDir,Point,19
MenuItemMorph>>selector:>>arg>>aSymbol,ByteSymbol,171
RowLayout>>layout:in:>>3>>arg>>m,PanelMorph,1803,ControlButtonMorph,167,MultistateButtonMorph,843,ImageMorph,2640,CheckboxMorph,10998,PluggableTextFieldMorph,36017,PluggableButtonMorph,2566,TextMorphForFieldView,204,TextMorph,1906,LabelMorph,561,ToolDockingBarMorph,17,StringMorph,2316,Morph,2476
Paragraph>>selectionRectsFrom:to:>>temp>>cb1,CharacterBlock,6188
TableLayout>>layoutLeftToRight:in:>>temp>>size,Point,128783
RowLayout>>layout:in:>>temp>>newBounds,Rectangle,22557
TableLayout>>placeCells:in:horizontal:target:>>temp>>cell,UndefinedObject,19,LayoutCell,258
JobProgressBarMorph>>progressBar,ProgressBarMorph,1
TableLayout>>layoutTopToBottom:in:>>temp>>height,SmallInteger,5661,BoxedFloat64,8684
TextComposer>>multiComposeLinesFrom:to:delta:into:priorLines:atY:textStyle:text:container:wantsColumnBreaks:>>arg>>argText,Text,20471
MenuMorph>>addToggle:target:selector:getStateSelector:enablementSelector:>>arg>>anObject,UndefinedObject,1
StringMorph>>stringBounds>>temp>>bnd,Rectangle,4273
MorphicEventHandler>>notifyMorphsOfEvent:ofType:from:>>arg>>eventType,ByteSymbol,37
MouseClickState>>client:click:dblClick:dblClickTime:dblClickTimeout:drag:threshold:event:>>arg>>timeOut,SmallInteger,9
EmbossedStringMorph>>initWithContents:font:emphasis:>>arg>>emphasisCode,SmallInteger,1
TableLayout>>minExtentVertical:>>temp>>minY,SmallInteger,2255
TextMorph>>wrapFlag:>>arg>>aBoolean,True,644,False,3028
SystemProgressMorph>>show:>>temp>>progressMorph,JobProgressMorph,1
RowLayout>>minExtentOf:in:>>3>>arg>>m,PanelMorph,804,ControlButtonMorph,105,MultistateButtonMorph,370,FTCellMorph,2112,ImageMorph,1738,PluggableTextFieldMorph,19010,CheckboxMorph,6999,PluggableButtonMorph,1710,TextMorphForFieldView,83,TextMorph,1389,LabelMorph,244,ToolDockingBarMorph,6,StringMorph,1652,Morph,1081
MenuItemMorph>>minWidth>>temp>>iconWidth,SmallInteger,532
TextMorph>>extent:>>temp>>priorEditor,SmalltalkEditor,6,UndefinedObject,13125,TextEditor,8
TableLayout>>layoutLeftToRight:in:>>1>>temp>>sizeY,SmallInteger,36245,BoxedFloat64,17866
ToggleMenuItemMorph>>minWidth>>temp>>w,SmallInteger,532
MouseClickState>>firstClickTime,SmallInteger,9
AlphaImageMorph>>image:size:>>temp>>f,ColorForm,2,Form,544
TableLayoutProperties>>listSpacing,ByteSymbol,73075
TextMorph>>margins:>>arg>>newMargins,Rectangle,3050,Margin,1
MenuMorph>>stayUp,True,5,False,6
DashedBorder>>dashColors:dashLengths:>>arg>>lens,Array,1
TableLayout>>minExtentHorizontal:>>temp>>width,SmallInteger,14382,BoxedFloat64,7826
TextComposer>>composeAllRectangles:>>arg>>rectangles,Array,29085
MenuMorph>>defaultTarget:>>arg>>anObject,StandardWindow,1,IdentifierChooserMorph,5
RowLayout>>layout:in:>>temp>>props,TableLayoutProperties,22557
TextComposer>>composeEachRectangleIn:>>temp>>lastChar,Character,29085
Paragraph>>displaySelectionInLine:on:>>temp>>rightX,BoxedFloat64,34,SmallInteger,140
TableLayout>>layoutTopToBottom:in:>>1>>temp>>props,LabelMorph,61,StringMorph,1,Morph,143,ImageMorph,6,TableLayoutProperties,3680,LayoutProperties,587
TextMorph>>extent:>>temp>>newExtent,Point,3055
Paragraph>>characterBlockForIndex:>>arg>>index,SmallInteger,6226
Paragraph>>displayOn:using:at:>>arg>>somePosition,Point,807
Paragraph>>click:for:controller:>>arg>>anEvent,MouseButtonEvent,1
TableLayout>>minExtentHorizontal:>>1>>temp>>sizeX,SmallInteger,6904,BoxedFloat64,4317
MenuItemMorph>>mouseDown:>>arg>>evt,MouseButtonEvent,1
TableLayout>>computeCellArrangement:in:horizontal:target:>>temp>>cells,Array,20
TextMorph>>paragraph>>temp>>newParagraph,Paragraph,2261
MenuItemMorph>>subMenu:>>arg>>aMenuMorph,MenuMorph,1
TableLayoutProperties>>maxCellSize,SmallInteger,73075
ProportionalLayout>>minExtentOf:in:>>arg>>newBounds,Rectangle,272
Paragraph>>offsetToEnd,SmallInteger,20471
MouseClickState>>handleEvent:from:>>temp>>timedOut,True,6,False,260
TextMorph>>containsPoint:>>arg>>aPoint,Point,201
TransformMorph>>transform,MorphicTransform,80286
StringMorphAttributeScanner>>setFont:>>arg>>fontNum,SmallInteger,280
TextMorphForEditView>>drawNullTextOn:>>arg>>aCanvas,FormCanvas,42
JobProgressMorph>>bar,JobProgressBarMorph,1
TableLayout>>layoutLeftToRight:in:>>temp>>extent,Point,101164
LayoutCell>>nextCell,LayoutCell,18376
JobProgressMorph>>changed>>temp>>msRefreshRate,SmallInteger,7
TableLayoutProperties>>minCellSize,SmallInteger,73075
MenuItemMorph>>mouseLeave:>>arg>>evt,MouseButtonEvent,1
Paragraph>>replaceFrom:to:with:>>arg>>start,SmallInteger,8
TableLayoutProperties>>reverseTableCells,True,22,False,73075
LayoutFrame>>transform:>>temp>>left,SmallInteger,3011
TextComposer>>composeLinesFrom:to:delta:into:priorLines:atY:textStyle:text:container:wantsColumnBreaks:>>arg>>argText,Text,8
TableLayout>>layout:in:>>arg>>box,Rectangle,40389
TextComposer>>composeOneLine>>temp>>rectangles,Array,29085
AlphaImageMorph>>cachedForm>>temp>>effectiveAlpha,BoxedFloat64,23
EmbeddedMenuMorph>>selectItem:event:>>temp>>menus,Array,3
LayoutFrame>>topFraction,Fraction,4,SmallInteger,1382,BoxedFloat64,90
TableLayout>>minExtentVertical:>>temp>>width,SmallInteger,3364,BoxedFloat64,1402
TableLayout>>minExtentHorizontal:>>temp>>height,SmallInteger,15826,BoxedFloat64,2425
MenuMorph>>addToggle:target:selector:getStateSelector:enablementSelector:argumentList:>>arg>>argList,Array,3
TextMorph>>updateFromParagraph>>temp>>back,False,16
LayoutFrame>>transform:>>arg>>outerReferenceRectangle,Rectangle,3011
ToggleMenuItemMorph>>keyText:>>arg>>anObject,ByteString,3
MouseClickState>>dragSelector,ByteSymbol,6,UndefinedObject,3
ProgressBarMorph>>completedWidth>>temp>>range,SmallInteger,53
StringMorph>>fitContents>>temp>>boundsChanged,True,56722,False,5110
MorphEventSubscription>>valueParameter:>>arg>>anObject,PluggableButtonMorph,218
MenuMorph>>addToggle:target:selector:getStateSelector:argumentList:>>arg>>anObject,UndefinedObject,2
EmbossedStringMorph>>style,ByteSymbol,3
TextMorphForEditView>>selectionColor:>>1>>arg>>p,Paragraph,18194
TableLayout>>minExtentOf:in:>>arg>>box,Rectangle,21004
Paragraph>>lineIndexForPoint:>>temp>>i,SmallInteger,1620
ProportionalLayout>>minExtentOf:in:>>arg>>aMorph,PanelMorph,245,Morph,27
MenuItemMorph>>icon,Form,4
TableLayoutProperties>>cellSpacing,ByteSymbol,111267
