method name
RTAbstractDataSet>>defaultMinValue,RTBoxPlotDataSet:args:ret:SmallInteger,RTDataSet:args:ret:SmallInteger
RTTimeline>>label:on:,RTTimeline:args:ByteString:Point:ret:RTElement
RTXMLViewerScript>>label,RTXMLViewerScript:args:ret:ByteString
RTNColorLinearNormalizer>>highColorFor:,RTNColorLinearNormalizer:args:SmallInteger:ret:Color,RTNColorLinearNormalizer:args:LargePositiveInteger:ret:Color,RTNColorLinearNormalizer:args:BoxedFloat64:ret:Color
RTNColorLinearNormalizer>>maxBrightnessFor:,RTNColorLinearNormalizer:args:SmallInteger:ret:BoxedFloat64,RTNColorLinearNormalizer:args:LargePositiveInteger:ret:BoxedFloat64,RTNColorLinearNormalizer:args:BoxedFloat64:ret:BoxedFloat64
RTNiceStepSizeGenerator>>reset,RTNiceStepSizeGenerator:args:ret:RTNiceStepSizeGenerator
RTCompositeShape>>edgeFrom:to:,RTCompositeShape:args:RTElement:RTElement:ret:RTEdge
RTStackBarPlot>>totalSum,RTStackBarPlot:args:ret:SmallInteger
RTTreeMapBuilder>>rectangle,RTTreeMapBuilder:args:ret:RTRectangleTreeMap
RTNoDecorationShape class>>trachelShapeClass,RTNoDecorationShape class:args:ret:TRNoDecoratorShape class
RTSVGPath class>>Georgia,RTSVGPath class:args:ret:ByteString
RTLayoutBuilder>>ifElement:then:,RTLayoutBuilder:args:ByteSymbol:RTTreeLayout:ret:RTConditionalLayout
RTBoxPlotItem>>median,RTBoxPlotItem:args:ret:SmallInteger
RTSVGPath class>>PapuaNewGuinea,RTSVGPath class:args:ret:ByteString
RTEdge class>>buildEdgesFromObjects:from:to:inView:scope:,RTEdge class:args:Interval:BlockClosure:ByteSymbol:RTView:RTGroup:ret:RTGroup
RTAbstractGraphLayout class>>on:edges:,RTClusterLayout class:args:RTGroup:OrderedCollection:ret:RTClusterLayout,RTTreeLayout class:args:RTGroup:OrderedCollection:ret:RTTreeLayout,RTTreeLayout class:args:RTGroup:RTGroup:ret:RTTreeLayout
RTView>>view,RTView:args:ret:RTView
RTExploraBuilder>>node:parent:,RTExploraBuilder:args:SmallInteger:UndefinedObject:ret:RTExploraNode,RTExploraBuilder:args:Collection class:UndefinedObject:ret:RTExploraNode,RTExploraBuilder:args:ValueLink:UndefinedObject:ret:RTExploraNode,RTExploraBuilder:args:String class:UndefinedObject:ret:RTExploraNode,RTExploraBuilder:args:FileReference:UndefinedObject:ret:RTExploraNode
RTAnnounceableObject>>getInteractionsForClass:,RTView:args:RTDraggableView class:ret:OrderedCollection
RTLabeled>>isBelow,RTLabeled:args:ret:False
RTShape>>color,RTEllipse:args:ret:BlockClosure,RTLabel:args:ret:Color,RTArc:args:ret:BlockClosure,RTLine:args:ret:BlockClosure,RTBox:args:ret:Color,RTDecoratedLine:args:ret:Color,RTSVGPath:args:ret:BlockClosure,RTSparkline:args:ret:BlockClosure
RTAxisRenderer>>numberOfLabels,RTAxisRenderer:args:ret:SmallInteger
RTShapeBuilder>>color,RTBoundedShapeBuilder:args:ret:BlockClosure,RTRouteBuilder:args:ret:BlockClosure,RTShapeBuilder:args:ret:Color
RTTabTable>>numberOfColumns,RTTabTable:args:ret:SmallInteger
RTExploraBuilder>>buildNode:parent:,RTExploraBuilder:args:SmallInteger:UndefinedObject:ret:RTExploraNode,RTExploraBuilder:args:Collection class:UndefinedObject:ret:RTExploraNode,RTExploraBuilder:args:ValueLink:UndefinedObject:ret:RTExploraNode,RTExploraBuilder:args:String class:UndefinedObject:ret:RTExploraNode,RTExploraBuilder:args:FileReference:UndefinedObject:ret:RTExploraNode
RTLabel class>>defaultColor,RTExtensibleLabel class:args:ret:Color,RTStyledLabel class:args:ret:Color,RTLabel class:args:ret:Color,RTRotatedLabel class:args:ret:Color,RTTextPath class:args:ret:Color
RTSVGPath class>>Bulgaria,RTSVGPath class:args:ret:ByteString
RTCalendarBuilder>>getDateStructure,RTCalendarBuilder:args:ret:OrderedCollection
