var name, type , #
GLMBrowser>>addTransmission:>>arg>>aTransmission,GLMTransmission,210
GLMPane>>initializeNamed:in:>>arg>>aString,ByteString,108,ByteSymbol,170
GLMPresentation>>selectionAct:on:entitled:>>arg>>aString,ByteString,4
GLMTransmission>>meetsCondition>>3>>arg>>each,GLMOriginPortReference,20
GLMPane>>clearIn:>>2>>arg>>each,GLMPanePort,102
GLMTransmission>>transmissionStrategy,GLMPresentIfNoneStrategy,1,GLMReplacePresentationsStrategy,207,GLMNoStrategy,1161
GLMBrowser>>outerPortEvent:>>2>>arg>>each,GLMTransmission,333
GLMTransmission>>printOn:>>arg>>aStream,LimitedWriteStream,6
GLMTransmission>>originatesAt:>>arg>>aPort,GLMPanePort,937
GLMExplicitBrowser>>innerPortEvent:>>4>>arg>>each,GLMTransmission,29
GLMPresentation>>condition:>>arg>>anObject,BlockClosure,5
GLMPresentation>>rawSelectionTransmissionFor:ifNone:>>arg>>ifNoneBlock,BlockClosure,3
GLMPresentationBoundPort>>presentation:>>arg>>aPresentation,GLMListPresentation,56,GLMFinder,22,GLMWrapper,14,GLMWizard,2,GTSimpleMethodsBrowser,8,GLMExpander,2,GTObjectVariablesBrowser,14,GLMRubricTextPresentation,4,GTInspector,4,GLMDashboard,24,GLMPager,14,GLMStacker,4,GLMCompositePresentation,1334,GLMDynamicPresentation,46,GLMTabulator,287,GLMTablePresentation,52,GLMPharoScriptPresentation,14,GTGenericStackDebugger,4,GTDebuggerVariablesBrowser,16,GLMPharoMethodPresentation,26,GTDebuggerInspector,8,GLMAccumulator,2,GLMFastTablePresentation,12,GLMValidator,6
GLMPresentation>>act:icon:on:entitled:>>arg>>aCharacter,Character,2
GLMPresentation>>rawSelectionTransmissionFor:ifNone:>>arg>>aPortSymbol,ByteSymbol,3
GLMBrowser>>postCopy>>temp>>newPanesMapping,Dictionary,4
GLMPresentation>>act:icon:on:entitled:>>arg>>aString,ByteString,2
GLMPresentation>>allActionsWithShortcuts>>1>>arg>>action,GLMMorphicAction,10,GLMGenericAction,189
GLMPresentation>>implicitAllNil,False,106
GLMTransmission>>toOutsidePort:>>arg>>aPortSymbol,ByteSymbol,27
GLMBrowser>>statusPane,UndefinedObject,107
GLMFormatedPresentation>>format,BlockClosure,15,ByteSymbol,11
GLMBrowser>>unregisterFromAllAnnouncements>>1>>arg>>each,GLMPane,38
GLMPresentation>>act:on:entitled:>>arg>>aString,ByteString,2
GLMTransmissionContext>>printOn:>>arg>>aStream,LimitedWriteStream,7
GLMPortEvent>>port,GLMPanePort,475
GLMBrowser>>postCopy>>temp>>oldWatcherPane,GLMPane,4
GLMPane>>allowedToNotePresentationsChanged,True,669,False,543
GLMPane>>isLastActivePresentation:>>arg>>aPresentation,GTSimpleMethodsBrowser,4,GLMFastTablePresentation,2,GLMPharoScriptPresentation,4,GTObjectVariablesBrowser,1,GLMListPresentation,3,GLMPharoMethodPresentation,6,GLMTablePresentation,4,GLMRubricTextPresentation,1,GTDebuggerVariablesBrowser,4
GLMBrowser>>panes,OrderedCollection,111
GLMPresentation>>addSelectionAction:>>arg>>anAction,GLMMorphicAction,34,GLMGenericAction,72
GLMPresentation>>with:>>arg>>aBlock,BlockClosure,35
GLMTransmission>>transformed:>>arg>>aBlock,BlockClosure,30
GLMPanePort>>changeValueTo:in:>>arg>>aTransmissionContext,GLMTransmissionContext,475
GLMPortEvent>>oldValue,GLMFastTablePresentation,2,UndefinedObject,199,Context,18,DebugSession,1,Association,2,DynamicTypesRecorderWithMessageNodes class,1,Interval,122,GTGenericStackDebugger,3,GLMMultiValue,1,Text,122,Array,4
GLMPortReference>>port:>>arg>>aPort,GLMPresentationBoundPort,936,GLMPanePort,117
GLMBrowser>>update>>1>>arg>>each,GLMPane,3
GLMPresentation>>onChangeOfPort:act:>>arg>>aBlock,BlockClosure,13
GLMPane>>printOn:>>arg>>aStream,LimitedWriteStream,12
GLMPanePort>>receive:in:>>arg>>aContext,GLMTransmissionContext,67
GLMTransmission>>transformation:>>arg>>anObject,BlockClosure,30,ByteSymbol,3
GLMPresentation>>title:>>arg>>aStringOrBlock,BlockClosure,8,ByteString,45
GLMPanePort>>copyAccordingToPaneMapping:inNewBrowser:>>arg>>anotherBrowser,GLMTabulator,16
GLMBrowser>>resolvePort:defaultPortName:>>arg>>aSymbol,ByteSymbol,427
GLMCompositePresentation>>openOn:with:>>arg>>anObject,DynamicTypesRecorderWithMessageNodes class,2
GLMCompositePresentation>>postCopy>>2>>arg>>each,GLMTabulator,4,GLMPharoMethodPresentation,5,GLMDynamicPresentation,11,GLMFastTablePresentation,3,GLMListPresentation,10,GLMPharoScriptPresentation,1,GLMTablePresentation,13,GTDebuggerVariablesBrowser,4
GLMAction>>action,BlockClosure,408
GLMPane>>notingPresentationChangeDo:>>temp>>oldMatchingPresentations,OrderedCollection,543
GLMPane>>portEvent:>>arg>>aPortEvent,GLMPortEvent,475
GLMTransmission>>activeOrigins>>2>>arg>>each,GLMOriginPortReference,991
GLMPresentation>>update>>1>>arg>>each,GLMPanePort,16
GLMTransmission>>value>>3>>arg>>each,GLMOriginPortReference,10
GLMPresentation>>entity:>>arg>>anObject,DynamicTypesRecorderWithMessageNodes class,4,Context,11
GLMPresentation>>parentPrototype:>>arg>>aPresentation,GLMTabulator,4,GLMPharoMethodPresentation,5,GLMDynamicPresentation,11,GLMFastTablePresentation,3,GLMListPresentation,10,GLMCompositePresentation,47,GLMPharoScriptPresentation,1,GLMTablePresentation,13,GTDebuggerVariablesBrowser,4
GLMPresentationBoundPort>>copyAccordingToPaneMapping:inNewBrowser:>>arg>>newPanesMapping,Dictionary,8
GLMAction>>shortcutAsString>>2>>arg>>stream,WriteStream,67
GLMPane>>lastActivePresentation:>>arg>>aPresentation,UndefinedObject,5,GLMFastTablePresentation,3
GLMTransmission>>from:port:>>arg>>aPaneSymbol,ByteSymbol,153
GLMFormatedPresentation>>formatedDisplayValueOf:>>arg>>anObject,ByteString,4,Context,4
GLMPresentation>>sourceLink,Context,108
GLMTransmission>>andShow:>>arg>>aBlock,BlockClosure,159
GLMBoundPort>>validate:>>arg>>anObject,GLMFastTablePresentation,3,UndefinedObject,125,Context,56,DebugSession,6,Association,6,DynamicTypesRecorderWithMessageNodes class,9,Interval,125,GTGenericStackDebugger,5,GLMMultiValue,5,OrderedCollection,1,Text,130,Array,4
GLMImplicitBrowser>>transmission,GLMTransmission,28
GLMPresentation>>spawn:entitled:>>arg>>aBlock,BlockClosure,1
GLMAction>>renderGlamorouslyOn:>>arg>>aRenderer,GLMMorphicRenderer,52
GLMAction>>separatorBefore,True,7
GLMAction>>condition:>>arg>>anObject,BlockClosure,33
GLMPresentation>>portChangeActions,OrderedCollection,812
GLMCompositePresentation>>startOn:>>arg>>anObject,DynamicTypesRecorderWithMessageNodes class,4,Context,11
GLMPane>>initializeNamed:>>arg>>aString,ByteSymbol,16
GLMFormatedPresentation>>icon,BlockClosure,10,ByteSymbol,4
GLMPanePort>>pane:>>arg>>aPane,GLMPane,404
GLMPortReference>>printOn:>>arg>>aStream,LimitedWriteStream,1
GLMTransmission>>when:>>arg>>aBlock,BlockClosure,11
GLMPresentation>>act:icon:on:entitled:>>arg>>anIcon,Form,2
GLMPresentation>>pane:>>arg>>aPane,GLMPane,958,UndefinedObject,130
GLMPresentation>>when:>>arg>>aBlock,BlockClosure,5
GLMPresentation>>windowIsClosing>>1>>arg>>each,GLMCompositePresentation,8,GLMDynamicPresentation,1,GLMListPresentation,7,GLMTabulator,2,GLMRubricTextPresentation,1,GTObjectVariablesBrowser,1,GTInspector,1,GLMPharoScriptPresentation,2,GLMTablePresentation,2,GTSimpleMethodsBrowser,1,GLMPager,1
GLMTabbedArrangement>>renderGlamorouslyOn:>>arg>>aRenderer,GLMMorphicRenderer,47
GLMBrowser>>withAllPanesAndPresentationsDo:>>1>>arg>>each,GLMPane,6
GLMPresentation>>initialize:>>arg>>aBlock,BlockClosure,5
GLMCompositePresentation>>withAllPanesAndPresentationsDo:>>arg>>aBlock,BlockClosure,11
GLMTransmission>>meetsCondition>>temp>>originValues,DynamicTypesRecorderWithMessageNodes class,4,UndefinedObject,10,DebugSession,6,Association,5,GLMMultiValue,10,Context,31
GLMPane>>port:>>arg>>aSymbol,ByteSymbol,4301
GLMPane>>notingPresentationChangeDo:>>arg>>aBlock,BlockClosure,883
GLMPane>>postCopy>>temp>>newPort,GLMPanePort,8
GLMPresentation>>selectionAct:on:entitled:>>arg>>aBlock,BlockClosure,4
GLMFormatedPresentation>>icon:>>arg>>anObject,BlockClosure,4,ByteSymbol,4
GLMBrowser>>outerPortEvent:>>4>>arg>>each,GLMTransmission,23
GLMPort>>printOn:>>arg>>aStream,LimitedWriteStream,3
GLMPresentation>>selectionAct:on:entitled:>>arg>>aCharacter,Character,4
GLMPresentation>>titleAction>>2>>arg>>aBlock,BlockClosure,1
GLMPane>>notingPresentationChangeDo:>>temp>>oldPresentations,OrderedCollection,543
GLMPresentation>>outerPortEvent:>>1>>arg>>each,GLMPortChangeAction,141
GLMPresentation>>updateOn:from:>>arg>>anAnnouncement,GLMItemAdded class,1,GLMItemRemoved class,1
GLMCompositeArrangement>>composite,GTGenericStackDebugger,1,GTDebuggerInspector,4,GTObjectVariablesBrowser,1,GLMCompositePresentation,36,GTInspector,1,GTDebuggerVariablesBrowser,4
GLMCompositePresentation>>matchingPresentations>>1>>arg>>each,GLMFinder,1,GLMCompositePresentation,8,GLMDynamicPresentation,108,GLMListPresentation,67,GLMTabulator,45,GLMFastTablePresentation,30,GLMPharoMethodPresentation,31,GLMRubricTextPresentation,10,GTObjectVariablesBrowser,12,GLMPharoScriptPresentation,116,GTInspector,82,GTDebuggerVariablesBrowser,13,GTDebuggerInspector,12,GLMTablePresentation,46,GTSimpleMethodsBrowser,9,GLMPager,16,GLMValidator,1
GLMNoStrategy>>transmitIn:>>arg>>aContext,GLMTransmissionContext,24
GLMPortReference>>port,GLMPresentationBoundPort,1038,GLMPanePort,125
GLMCompositePresentation>>pane:>>arg>>aPane,GLMPane,737,UndefinedObject,130
GLMPresentation>>shouldValidate,False,72
GLMPresentStrategy>>presentationsFactory,BlockClosure,195
GLMTransmission>>from:port:>>arg>>aPortSymbol,ByteSymbol,153
GLMPresentation>>pane,GLMPane,968,UndefinedObject,130
