var name, type , #
Morph>>addMorph:inFrontOf:>>arg>>newMorph,StandardWindow,4,ChooseDropListDialogWindow,1,DenyDialogWindow,1,TextEntryDialogWindow,5,GrowlMorph,2,SimpleBalloonMorph,1,MessageDialogWindow,1,IdentifierChooserMorph,5,SystemProgressMorph,1,QuestionDialogWindow,4,PluggableDialogWindow,9,AlertDialogWindow,1,SystemWindow,13,ErrorDialogWindow,1,FreeTypeFontSelectorDialogWindow,1,ProceedDialogWindow,1,QuestionWithoutCancelDialogWindow,1,ColorSelectorDialogWindow,1,FileDialogWindow,2
Morph>>privateFullBounds>>temp>>box,Rectangle,868718
Morph>>align:with:>>arg>>aPoint1,Point,168
Morph>>privateMoveBy:>>temp>>fill,SolidFillStyle,73363,GradientFillStyle,179,InfiniteForm,33,InterpolatedGradientFillStyle,26,ImageFillStyle,7318,Color,353925
Morph>>adoptPaneColor:>>1>>arg>>m,DropListMorph,56,GTPlaygroundEditableTabLabel,1,TextMorph,93,MorphTreePager,2,EditableDropListMorph,6,TextMorphForFieldView,124,RubScrolledTextMorph,1,IconicButton,10,LazyMorphTreeNodeMorph,71922,RubCursor,1,HColorSelectorMorph,16,GLMLabelBrick,1,GLMFoundationBrick,1,SeparatorMorph,56,GLMPluggableButtonMorph,6,ScrollBar,116,LazyMorphTreeMorph,6,GLMTabLabelBrick,1,HSVColorSelectorMorph,12,PluggableSliderMorph,52,Morph,2405,TransformMorph,246,TransformWithLayoutMorph,1,GroupboxMorph,47,RubTextScrollPane,1,GLMPagerBrick,1,PluggableIconListMorph,7,ToolDockingBarMorph,7,TextMorphForEditView,23,RubPrimarySelectionMorph,1,GLMBrick,1,PluggableMorphListMorph,26,FuzzyLabelMorph,20,LazyMorphListMorph,59,RubAdornmentDisplayer,1,LazyListMorph,84,ExpanderTitleMorph,40,WindowEdgeGripMorph,492,GLMMorphBrick,1,DockingBarToggleMenuItemMorph,5,GLMTabSelectorBrick,1,CheckboxMorph,36,PluggableTextMorph,21,PaginatedMorphTreeMorph,5,PluggableListMorph,20,IndentingListItemMorph,727,CheckboxButtonMorph,36,MorphTreeResizerMorph,20,MultistateButtonMorph,384,PluggableTextFieldMorph,66,IconicListItem,57,GLMStringBrick,1,TabLabelMorph,15,ControlButtonMorph,141,LazyTabGroupMorph,1,TreeListMorph,13,StringMorph,93,MorphDropListMorph,26,GLMScrollPaneBandBrick,1,MorphTreeChunkPager,1,LabelMorph,1174,PanelMorph,976,MorphTreeTransformMorph,28,TabGroupMorph,4,TopLeftGripMorph,123,PluggableToggleButtonMorph,9,PluggableButtonMorph,310,AlphaImageMorph,226,ImageMorph,170,ColorPresenterMorph,24,ToggleMenuItemMorph,15,MorphTreeNodeMorph,52596,RubEditingArea,1,SVColorSelectorMorph,16,TopRightGripMorph,123,GLMPagerScrollBrick,1,PlainGroupboxMorph,50,BorderedMorph,114,ExpanderMorph,40,BottomLeftGripMorph,123,RubHighlightSegmentMorph,1,HSVAColorSelectorMorph,8,BottomRightGripMorph,123,AlignmentMorph,746,EmbossedStringMorph,20,MorphTreeColumnButton,36,MorphTreeMorph,17,BracketMorph,154,TabManagerMorph,3,TabSelectorMorph,5,AColorSelectorMorph,52,ColorChooserMorph,20
MouseButtonEvent>>timeStamp,SmallInteger,32
Morph>>transformedFrom:>>arg>>uberMorph,AlignmentMorph,1743,PanelMorph,2584,StandardWindow,81,QuestionDialogWindow,114,MorphTreeTransformMorph,11277,WorldMorph,80618,TextEntryDialogWindow,8577,PluggableDialogWindow,4139,TransformMorph,586,SystemWindow,36,HandMorph,4132,PluggableTextFieldMorph,588,PlainGroupboxMorph,661,PluggableButtonMorph,165,ScrollBar,2,MorphTreeNodeMorph,12,MorphTreeMorph,155,Morph,349
Morph>>addMorph:fullFrame:>>arg>>aMorph,PanelMorph,24,LockableTabMorph,5,TabBarMorph,1,MultistateButtonMorph,10,MorphTreeMorph,4,TabLabelItem,4,ToolDockingBarMorph,1,PluggableToggleButtonMorph,3,TabManagerMorph,1,PluggableTextMorph,1,TabMorph,22,PluggableListMorph,1,PluggableButtonMorph,7,AlphaImageMorph,4,LazyMorphTreeMorph,1,Morph,14
MorphExtension>>sticky:>>arg>>aBoolean,True,369
DropEvent>>transformedBy:>>arg>>aMorphicTransform,MorphicTransform,1,IdentityTransform,87
Morph>>removeProperty:>>arg>>aSymbol,ByteSymbol,20074
Morph>>isWindowActive:>>2>>arg>>o,WorldMorph,3094,HandMorph,4
HandMorph>>drawOn:>>arg>>aCanvas,FormCanvas,38
PasteUpMorph>>isWindowActive:>>arg>>aSystemWindow,DenyDialogWindow,87,ProceedDialogWindow,87,QuestionWithoutCancelDialogWindow,87,QuestionDialogWindow,116,ColorSelectorDialogWindow,87,NautilusWindow,110,FileDialogWindow,172,PluggableDialogWindow,383,ChooseDropListDialogWindow,87,MessageDialogWindow,87,SystemWindow,867,AlertDialogWindow,87,ErrorDialogWindow,87,GLMSystemWindow,153,StandardWindow,344,TextEntryDialogWindow,166,FreeTypeFontSelectorDialogWindow,87
MorphicEventDispatcher>>dispatchDropEvent:with:>>arg>>anEvent,DropEvent,68
Morph>>allMorphsDo:>>arg>>aBlock,BlockClosure,167702
Morph>>setBalloonText:maxLineLength:>>arg>>aLength,SmallInteger,42696
