var name, type , #
FAMIXAnnotationInstance>>annotatedEntity,UndefinedObject,1947,FAMIXMethod,1869,FAMIXClass,54,FAMIXAttribute,11,FAMIXParameter,13
FAMIXAnnotationInstanceAttribute>>annotationTypeAttribute,FAMIXAnnotationTypeAttribute,84,UndefinedObject,84
FAMIXType>>query:with:>>arg>>aFAMIXClassAssociation,FAMIXAccess class,4774,FAMIXInheritance class,4774,FAMIXReference class,4774,FAMIXInvocation class,4774
FAMIXType>>query:with:>>temp>>directionSymbol,ByteString,19096
FAMIXImplicitVariable>>mooseNameOn:>>temp>>parent,FAMIXMethod,5392
FAMIXAnnotationInstance>>privateQuery:with:>>2>>arg>>aChild,FAMIXAnnotationInstanceAttribute,922
FAMIXAnnotationInstance>>annotationType:>>arg>>anAnnotationType,FAMIXAnnotationType,1947
FAMIXNamedEntity>>queryLocal:with:>>temp>>coll,OrderedCollection,318625
FAMIXBehaviouralEntity>>signature:>>arg>>aString,ByteString,25409
MooseEntity>>propertyNamed:ifNil:>>arg>>aBlock,BlockClosure,108
FAMIXAnnotationType>>container,UndefinedObject,4,FAMIXNamespace,4
FAMIXType>>isJUnit3TestCase>>1>>arg>>each,FAMIXClass,27890,FAMIXParameterizedType,870,FAMIXParameterizableClass,1216
FAMIXType>>queryLocal:with:>>temp>>coll,OrderedCollection,68533
FAMIXBehaviouralEntity>>creatingDirectionSymbol:>>arg>>anInOutSymbol,ByteSymbol,179749
FAMIXLocalVariable>>parentBehaviouralEntity,FAMIXMethod,12631,UndefinedObject,12631
FAMIXAttribute>>printOn:>>temp>>parent,FAMIXClass,43
FAMIXInheritance>>subclass,FAMIXClass,4022,FAMIXEnum,10,UndefinedObject,4144,FAMIXParameterizableClass,112
FAMIXInheritance>>printOn:>>arg>>aStream,LimitedWriteStream,37
FAMIXAccess>>accessor:>>arg>>aBehaviouralEntity,FAMIXMethod,30192
FAMIXMethod>>mooseNameOn:>>temp>>parent,FAMIXParameterizedType,993,FAMIXParameterizableClass,13475,FAMIXClass,1415419,FAMIXEnum,803,FAMIXType,27
FAMIXParameter>>parentBehaviouralEntity:>>arg>>aBehaviouralEntity,FAMIXMethod,17609
MooseEntity>>navigationSelectors>>1>>arg>>p,Pragma,47
